P_PV;P_BESS;E_BESS;T_BESS;pv2load;pv2bess;pv2curtail;pv2grid;bess2load;bess2grid;grid2load;grid2bess;annual_energy;capex;capex_pv;capex_bess;opex;opex_pv;opex_bess;capex_co2;capex_co2_pv;capex_co2_bess;opex_co2;opex_co2_pv;opex_co2_bess;lcoe_investor;lcoe_enduser;lcoe_revenue;lco2_investor;lco2_enduser;lco2_abatement;savings;energy_procurement_costs;energy_procurement_costs_load;energy_procurement_costs_bess;profit;profit_pv;profit_bess;co2avoided;co2burden;co2burden_load;co2burden_bess;co2abatement;co2abatement_pv;co2abatement_bess;cycles;self_sufficiency;ress;self_consumption;net_savings;net_co2avoided;net_earnings;net_abatement;PV_Load_M;BESS_Load_M;pv2load_share;pv2bess_share;pv2grid_share;curtailment_share;bess2load_share;bess2grid_share;earnings_class;co2abatement_class;savings_class;co2avoided_class;label
2.0;2.0;2.0;1.0;0;0;0;0;21944;512;351189;23062;22456.0;1060000.0;160000.0;900000.0;18000.0;6000.0;12000.0;266000.0;66000.0;200000.0;0.0;0.0;0.0;3.3772332420271205;0.25664163247608696;3.3767639475777123;0.7128232066682103;0.07028512865065752;0.7121420767843137;2603.536949999999;27467.54283000005;26471.439350000044;996.10348;13.99081;0.0;13.99081;901.8085399999998;14335.287410000072;13583.216200000075;752.0712100000001;20.30614;0.0;20.30614;11.0;5.830801130430811;0.0;0.0;-13084.995069999997;-15889.264700000009;-12369.096789999996;-15415.12232000001;0.7;0.7;0.0;0.0;0.0;0.0;0.9771998574991093;0.02280014250089063;negative;negative;negative;negative;Environmental Dispatch Optimisation
2.0;2.0;4.0;2.0;0;0;0;0;21944;2743;351189;23062;24687.0;1460000.0;160000.0;1300000.0;30000.0;6000.0;24000.0;466000.0;66000.0;400000.0;0.0;0.0;0.0;4.378705751154788;0.3429156923800816;4.375765292176916;1.1186730281268695;0.10126468726096337;1.1153665582249772;2603.536949999999;27467.54283000005;26471.439350000044;996.10348;96.37147;0.0;96.37147;901.8085399999998;14335.287410000072;13583.216200000075;752.0712100000001;108.36721999999999;0.0;108.36721999999999;6.0;5.830801130430811;0.0;0.0;-12985.867450000002;-16336.73775000001;-11998.998220000001;-15547.08301000001;0.7;0.7;0.0;0.0;0.0;0.0;0.8888888888888888;0.1111111111111111;negative;negative;negative;negative;Environmental Dispatch Optimisation
2.0;2.0;6.0;3.0;0;0;0;0;21944;4973;351189;23062;26917.0;1860000.0;160000.0;1700000.0;42000.0;6000.0;36000.0;666000.0;66000.0;600000.0;0.0;0.0;0.0;5.214365199485659;0.42921924907542913;5.209856845897981;1.4573022313703135;0.1322665163361448;1.451843825637318;2603.536949999999;27467.54283000005;26471.439350000044;996.10348;161.10524;0.0;161.10524;901.8085399999998;14335.287410000072;13583.216200000075;752.0712100000001;195.05518999999998;0.0;195.05518999999998;4.0;5.830801130430811;0.0;0.0;-12976.709150000002;-16667.554710000022;-11927.063960000001;-15758.80788000002;0.7;0.7;0.0;0.0;0.0;0.0;0.8152468700078017;0.18475312999219823;negative;negative;negative;negative;Environmental Dispatch Optimisation
2.0;3.0;3.0;1.0;0;0;0;0;21944;1628;351189;23062;23572.0;1510000.0;160000.0;1350000.0;24000.0;6000.0;18000.0;366000.0;66000.0;300000.0;0.0;0.0;0.0;4.517225232326192;0.33866646174432785;4.515754805149356;0.9253317277767978;0.08577170550761663;0.9232726384533922;2603.536949999999;27467.54283000005;26471.439350000044;996.10348;46.01559;0.0;46.01559;901.8085399999998;14335.287410000072;13583.216200000075;752.0712100000001;64.4372;0.0;64.4372;7.0;5.830801130430811;0.0;0.0;-12989.298749999998;-16172.720930000005;-12058.649919999996;-15501.702950000006;0.7;1.0;0.0;0.0;0.0;0.0;0.9309350076361785;0.06906499236382148;negative;negative;negative;negative;Environmental Dispatch Optimisation
2.0;3.0;6.0;2.0;0;0;0;0;21944;4973;351189;23062;26917.0;2110000.0;160000.0;1950000.0;42000.0;6000.0;36000.0;666000.0;66000.0;600000.0;0.0;0.0;0.0;5.753500463279297;0.4681112899711241;5.7489921096916206;1.4573022313703135;0.1322665163361448;1.451843825637318;2603.536949999999;27467.54283000005;26471.439350000044;996.10348;161.10524;0.0;161.10524;901.8085399999998;14335.287410000072;13583.216200000075;752.0712100000001;195.05518999999998;0.0;195.05518999999998;4.0;5.830801130430811;0.0;0.0;-12970.156600000002;-16679.859390000016;-11920.626330000001;-15755.472390000014;0.7;1.0;0.0;0.0;0.0;0.0;0.8152468700078017;0.18475312999219823;negative;negative;negative;negative;Environmental Dispatch Optimisation
2.0;3.0;9.0;3.0;0;0;0;0;21944;8318;351189;23062;30262.0;2710000.0;160000.0;2550000.0;60000.0;6000.0;54000.0;966000.0;66000.0;900000.0;0.0;0.0;0.0;6.716473159863349;0.5976075454212655;6.710279566741752;1.8716703732877793;0.17880015539373206;1.8636099403752615;2603.536949999999;27467.54283000005;26471.439350000044;996.10348;248.83149;0.0;248.83149;901.8085399999998;14335.287410000072;13583.216200000075;752.0712100000001;323.83295;0.0;323.83295;3.0;5.830801130430811;0.0;0.0;-12956.353060000001;-17166.51237000001;-11820.79477;-16120.61206000001;0.7;1.0;0.0;0.0;0.0;0.0;0.7251338312074549;0.2748661687925451;negative;negative;negative;negative;Environmental Dispatch Optimisation
3.0;0.0;0.0;0.0;0;0;0;0;0;0;371451;0;0.0;490000.0;240000.0;250000.0;9000.0;9000.0;0.0;99000.0;99000.0;0.0;0.0;0.0;0.0;0.0;0.15339877041743627;0.0;0.0;0.04470518960933024;0.0;0.0;28885.256980000042;28885.256980000042;0.0;0.0;0.0;0.0;0.0;14416.432800000084;14416.432800000084;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-28885.256980000042;-14416.432800000084;-28885.256980000042;-14416.432800000084;1.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
3.0;1.0;1.0;1.0;0;0;0;0;21345;0;351600;23056;21345.0;690000.0;240000.0;450000.0;15000.0;9000.0;6000.0;199000.0;99000.0;100000.0;0.0;0.0;0.0;2.4409254008567607;0.19317974996909973;2.4409254008567607;0.5677125793252409;0.0599580901586816;0.5677125793252409;2588.1406799999995;27473.116710000053;26477.34645000005;995.77026;0.0;0.0;0.0;879.0731699999999;14350.744800000073;13598.86301000007;751.8817899999999;0.0;0.0;0.0;21.0;5.671639178319617;0.0;0.0;-13628.626599999996;-15578.026960000025;-13287.982839999995;-15363.849190000024;1.0;0.3;0.0;0.0;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
3.0;1.0;2.0;2.0;0;0;0;0;21939;512;351047;23056;22451.0;890000.0;240000.0;650000.0;21000.0;9000.0;12000.0;299000.0;99000.0;200000.0;0.0;0.0;0.0;3.039086556464575;0.23632728197558592;3.0386171574998997;0.798297918307007;0.07543745571832812;0.7976166367305615;2603.159499999999;27459.13895000006;26463.368690000054;995.77026;13.99081;0.0;13.99081;901.6071999999997;14329.767620000071;13577.885830000072;751.8817899999999;20.30614;0.0;20.30614;11.0;5.8294725665567615;0.0;0.0;-13123.168649999992;-15848.451520000008;-12434.558959999993;-15397.00468000001;1.0;0.3;0.0;0.0;0.0;0.0;0.9771947797425504;0.022805220257449556;negative;negative;negative;negative;Environmental Dispatch Optimisation
3.0;1.0;3.0;3.0;0;0;0;0;21939;1628;351047;23056;23567.0;1090000.0;240000.0;850000.0;27000.0;9000.0;18000.0;399000.0;99000.0;300000.0;0.0;0.0;0.0;3.5795609062284037;0.2794770815771303;3.5780901670841607;1.0068039259186135;0.09093013925208547;1.0047443997366086;2603.159499999999;27459.13895000006;26463.368690000054;995.77026;46.01559;0.0;46.01559;901.6071999999997;14329.767620000071;13577.885830000072;751.8817899999999;64.4372;0.0;64.4372;7.0;5.8294725665567615;0.0;0.0;-13043.39143;-16070.89006000001;-12210.30965;-15474.521830000012;1.0;0.3;0.0;0.0;0.0;0.0;0.9309203547333136;0.06907964526668647;negative;negative;negative;negative;Environmental Dispatch Optimisation
