P_PV;P_BESS;E_BESS;T_BESS;pv2load;pv2bess;pv2curtail;pv2grid;bess2load;bess2grid;grid2load;grid2bess;annual_energy;capex;capex_pv;capex_bess;opex;opex_pv;opex_bess;capex_co2;capex_co2_pv;capex_co2_bess;opex_co2;opex_co2_pv;opex_co2_bess;lcoe_investor;lcoe_enduser;lcoe_revenue;lco2_investor;lco2_enduser;lco2_abatement;savings;energy_procurement_costs;energy_procurement_costs_load;energy_procurement_costs_bess;profit;profit_pv;profit_bess;co2avoided;co2burden;co2burden_load;co2burden_bess;co2abatement;co2abatement_pv;co2abatement_bess;cycles;self_sufficiency;ress;self_consumption;net_savings;net_co2avoided;net_earnings;net_abatement;PV_Load_M;BESS_Load_M;pv2load_share;pv2bess_share;pv2grid_share;curtailment_share;bess2load_share;bess2grid_share;earnings_class;co2abatement_class;savings_class;co2avoided_class;label
2.0;2.0;2.0;1.0;0;0;0;0;291105;14044;100750;345489;305149.0;1060000.0;160000.0;900000.0;18000.0;6000.0;12000.0;266000.0;66000.0;200000.0;0.0;0.0;0.0;0.2740836992312265;0.2207774013578045;0.27231654552291756;0.08260089501724717;0.07053375641741197;0.08143050183641228;26382.343479999974;15688.532019999995;4340.895670000002;11347.636349999993;715.8982800000001;0.0;715.8982800000001;11386.94613;16791.07324000001;3827.23813;12963.835110000007;474.14238;0.0;474.14238;152.0;77.35031731106733;0.0;0.0;10693.811459999979;-5404.1271100000085;11409.70973999998;-4929.984730000009;0.7;0.7;0.0;0.0;0.0;0.0;0.9539765819321053;0.0460234180678947;positive;negative;positive;negative;Economic Dispatch Optimisation
2.0;2.0;4.0;2.0;0;0;0;0;292851;23143;99126;360278;315994.0;1460000.0;160000.0;1300000.0;30000.0;6000.0;24000.0;466000.0;66000.0;400000.0;0.0;0.0;0.0;0.3669643253201061;0.3022082806166752;0.36461190062328236;0.11773910498440142;0.10023874935961917;0.11585678536608694;26580.54022999997;15589.4044;4156.5377800000015;11432.866619999993;986.8692300000001;0.0;986.8692300000001;11462.150159999997;17238.54629000001;3757.2855399999994;13481.260750000005;789.65474;0.0;789.65474;78.0;77.8142518158856;0.0;0.0;10991.13582999997;-5776.396130000012;11978.00505999997;-4986.741390000012;0.7;0.7;0.0;0.0;0.0;0.0;0.9267612676190055;0.07323873238099457;positive;negative;positive;negative;Economic Dispatch Optimisation
2.0;2.0;6.0;3.0;0;0;0;0;292851;26410;99126;370128;319261.0;1860000.0;160000.0;1700000.0;42000.0;6000.0;36000.0;666000.0;66000.0;600000.0;0.0;0.0;0.0;0.46422702988448256;0.38427932477077914;0.46175056822396476;0.15367852425615125;0.13019406079722032;0.1515344886286341;26580.54022999997;15580.2461;4156.5377800000015;11423.708319999994;1049.64519;0.0;1049.64519;11462.150159999997;17569.36325000002;3757.2855399999994;13812.077710000001;908.74683;0.0;908.74683;53.0;77.8142518158856;0.0;0.0;11000.29412999997;-6107.213090000023;12049.939319999969;-5198.466260000023;0.7;0.7;0.0;0.0;0.0;0.0;0.917277713218965;0.08272228678103495;positive;negative;positive;negative;Economic Dispatch Optimisation
2.0;3.0;3.0;1.0;0;0;0;0;292973;19797;99012;355370;312770.0;1510000.0;160000.0;1350000.0;24000.0;6000.0;18000.0;366000.0;66000.0;300000.0;0.0;0.0;0.0;0.3655907223656902;0.2983010947475378;0.36334944449019174;0.10000933664986289;0.08538988074600704;0.09839332671770018;26583.045719999973;15592.835699999996;4154.179550000001;11438.656149999995;930.6488300000002;0.0;930.6488300000002;11466.940959999996;17074.529470000005;3752.8042199999995;13321.725250000003;671.0179799999999;0.0;671.0179799999999;104.0;77.84666877441242;0.0;0.0;10990.210019999977;-5607.588510000009;11920.858849999979;-4936.570530000008;0.7;1.0;0.0;0.0;0.0;0.0;0.9367042874956037;0.0632957125043962;positive;negative;positive;negative;Economic Dispatch Optimisation
2.0;3.0;6.0;2.0;0;0;0;0;292942;26852;99041;370733;319794.0;2110000.0;160000.0;1950000.0;42000.0;6000.0;36000.0;666000.0;66000.0;600000.0;0.0;0.0;0.0;0.5088223688032408;0.4212559800800821;0.5063503053388165;0.1534595745229969;0.13018014072641115;0.15128227350080847;26583.060289999972;15573.69355;4154.165920000001;11419.527629999993;1049.5302700000002;0.0;1049.5302700000002;11465.873629999995;17581.667930000014;3753.8026899999995;13827.865240000006;924.387;0.0;924.387;53.0;77.8384316783933;0.0;0.0;11009.366739999972;-6115.79430000002;12058.897009999971;-5191.407300000019;0.7;1.0;0.0;0.0;0.0;0.0;0.9160334465312044;0.08396655346879554;positive;negative;positive;negative;Economic Dispatch Optimisation
2.0;3.0;9.0;3.0;0;0;0;0;292942;29976;99041;385631;322918.0;2710000.0;160000.0;2550000.0;60000.0;6000.0;54000.0;966000.0;66000.0;900000.0;0.0;0.0;0.0;0.6537104837338665;0.5444788718550667;0.6510616656263647;0.20703802103659574;0.17521913635054653;0.20459834030495333;26583.060289999972;15559.89001;4154.165920000001;11405.724089999996;1135.55829;0.0;1135.55829;11465.873629999995;18068.32091000001;3753.8026899999995;14314.518220000002;1045.90031;0.0;1045.90031;35.0;77.8384316783933;0.0;0.0;11023.170279999973;-6602.447280000015;12158.728569999974;-5556.546970000014;0.7;1.0;0.0;0.0;0.0;0.0;0.9071714800661468;0.09282851993385317;positive;negative;positive;negative;Economic Dispatch Optimisation
3.0;0.0;0.0;0.0;0;0;0;0;0;0;371451;0;0.0;490000.0;240000.0;250000.0;9000.0;9000.0;0.0;99000.0;99000.0;0.0;0.0;0.0;0.0;0.0;0.15339877041743627;0.0;0.0;0.04470518960933024;0.0;0.0;28885.256980000042;28885.256980000042;0.0;0.0;0.0;0.0;0.0;14416.432800000084;14416.432800000084;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-28885.256980000042;-14416.432800000084;-28885.256980000042;-14416.432800000084;1.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;negative;negative;negative;negative;Economic Dispatch Optimisation
3.0;1.0;1.0;1.0;0;0;0;0;282764;6410;108359;328553;289174.0;690000.0;240000.0;450000.0;15000.0;9000.0;6000.0;199000.0;99000.0;100000.0;0.0;0.0;0.0;0.20722656436509865;0.1620375771835034;0.2063392527758796;0.07206557028727383;0.0607015779306406;0.07150767831979997;25841.271219999984;16216.767279999995;4835.25899;11381.50829;340.64376;0.0;340.64376;11059.364189999988;16457.100130000024;4126.395639999999;12330.70449;214.17777000000004;0.0;214.17777000000004;289.0;75.13400705637704;0.0;0.0;9624.50393999999;-5397.735940000037;9965.147699999989;-5183.558170000037;1.0;0.3;0.0;0.0;0.0;0.0;0.9778334151756382;0.022166584824361804;positive;negative;positive;negative;Economic Dispatch Optimisation
3.0;1.0;2.0;2.0;0;0;0;0;290392;13385;101260;343900;303777.0;890000.0;240000.0;650000.0;21000.0;9000.0;12000.0;299000.0;99000.0;200000.0;0.0;0.0;0.0;0.2502886230216555;0.20158054787613963;0.248581152559949;0.08912741659484343;0.07543655101854457;0.08800801302628382;26337.21656999999;15726.328149999992;4373.4787300000025;11352.849419999995;688.60969;0.0;688.60969;11358.835970000007;16750.058720000008;3847.681349999999;12902.377369999998;451.44684;0.0;451.44684;151.0;77.16086410262778;0.0;0.0;10610.888419999997;-5391.222750000001;11299.498109999999;-4939.77591;1.0;0.3;0.0;0.0;0.0;0.0;0.9559380729943346;0.04406192700566534;positive;negative;positive;negative;Economic Dispatch Optimisation
3.0;1.0;3.0;3.0;0;0;0;0;292102;17584;99669;351844;309686.0;1090000.0;240000.0;850000.0;27000.0;9000.0;18000.0;399000.0;99000.0;300000.0;0.0;0.0;0.0;0.29783514129584393;0.24224693941143774;0.2958088539971946;0.10687746745997154;0.09031081767642363;0.10542693355228364;26529.23340999998;15646.550929999998;4194.83971;11451.711219999997;833.0817800000002;0.0;833.0817800000002;11432.009920000004;16972.49726000001;3779.596549999998;13192.900709999996;596.3682299999999;0.0;596.3682299999999;103.0;77.6152329475529;0.0;0.0;10882.682479999981;-5540.487340000007;11715.764259999982;-4944.119110000007;1.0;0.3;0.0;0.0;0.0;0.0;0.9432199066150876;0.05678009338491246;positive;negative;positive;negative;Economic Dispatch Optimisation
